date,"United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
1973-01-01,19.826536381091103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-01-01,19.50815290615883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-01-01,19.5809406260955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-01-01,19.376733099842326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-01-01,19.452768771787234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-01-01,19.54945814593709,17.46975573716005,33.39222717285156,16.719492852088965,13.937673212928232,21.614629398002446,20.348595383630546,20.35603425880179,20.60069010730038,23.496336352452285,15.738809839040742,16.552846543370833,19.21927998402673,16.993944007909697,21.8291122884886,18.865348768189055,17.400326025361696,17.637818886273276,20.16335831122376,19.128070839253645,15.71914311377358,22.206817210409877,20.173301930359756,23.663848435822256,19.75734346073386,15.235892588176998,18.170566403357338,18.46050178925573,16.965014711714474,17.981104940260753,16.915973210628565,21.29920846297277,17.58798996260946,21.080319490116356,15.877838894089246,16.494437791724906,20.215522347400537,17.94501600654204,21.48004181776001,20.54212382384386,18.009820423578198,15.357118499177325,15.285760648465276,16.988157857018063,17.505755992726694,18.208039740973735,16.989810738947725,18.279351636696763,23.298097722925846,19.856760655263017,20.215522268575516,21.156676187379663
1979-01-01,19.279127318807497,17.632072228766106,30.673887276917824,18.69858859569995,15.126578605618825,21.704117858358273,20.423206995183772,19.97327286889543,19.681027637828475,22.19485386109455,16.453304153376326,17.32599846711922,19.812896992737077,18.65783805549919,21.790264689127604,19.147761030321,18.706350305070092,18.44261101925012,18.883806247463475,18.58283349437631,15.709589676629932,21.35726475637197,18.98619570843585,22.60833003584957,19.81147095387116,14.860490632490679,18.750642470322642,18.91975753255737,17.307879075880173,19.404453930214885,18.017558268757615,20.821224479510153,18.523939442820367,20.35066232590448,16.20183567063633,16.982147707588233,20.96574919135023,18.92428743436739,21.312120899018787,20.00561722462312,18.39429245061173,15.705814842455315,15.214827054506776,16.905475258435008,18.496969696969696,19.395393694592762,16.626217305897637,18.760457053576715,23.00322947316355,20.381515482452524,19.79251232659146,21.656554069353906
1980-01-01,19.131937348661367,16.71588319655747,30.551616773698292,18.937497568706792,15.14817678708082,21.21492712664093,20.94159844054581,20.093055846454106,17.76816488106116,21.101380142896033,16.413317712854457,16.97085382710656,19.71773872658059,17.82982165539242,21.403730673985173,18.838826278478315,18.408208886457004,17.739289385403346,17.1750247031764,18.113122716238163,15.47146389728866,21.135913074634697,18.84290590401514,21.74813326354148,18.946404971593072,15.461509159675582,17.83508867527774,17.50874761689244,16.98989162571482,19.652651658680938,17.24702864143119,20.41193911903783,17.450878871746696,19.698014441298692,15.919354466369505,16.99088066710831,20.27456241719207,17.663372272097348,21.274243738126106,19.755024283782777,17.15209071823031,16.001285065470615,15.148662975526923,16.817871241281374,18.29864601536801,19.316207049334494,15.768071659675583,18.42112750612969,22.955527542441445,19.18014081274557,19.571555516650108,21.08234227944536
1981-01-01,18.934502545556985,15.914352671124334,28.808893969118383,19.347849036926053,14.850687646288886,21.289539444132632,21.221769755081777,19.38827943360678,19.29506514797007,20.39003192507924,15.7028773118423,16.189735643923076,19.475155298633506,17.271530405499334,20.92598993321755,18.737910589577886,18.221143160782674,18.624733960569117,17.64437594702235,18.748586017432164,15.480637741360376,20.30135979540407,19.1566916870986,21.62777208810175,18.963672609702552,15.363691371496882,17.65722414009936,18.29559740711361,16.119277003278086,19.45149607593903,17.551094718743048,20.661538261875144,18.216590646764136,19.42687740122296,15.614075440104743,16.878527197243898,19.809213645636397,18.288737354753707,21.120605394356613,19.30812813755456,16.62974969286936,15.214542749479572,15.21479672903692,16.54246495094164,18.33198413672396,19.303990656082313,15.794061181553742,18.54803438342763,22.487049209757632,18.706727451853908,19.143924227677207,20.751117343020184
1982-01-01,18.906598570650853,15.69834092620235,28.860859149702442,18.701738561335826,14.541916751733563,21.747870651859568,20.579590148413747,20.78364199491155,19.06682985344189,21.3353664341869,15.915853204407146,16.39359999330252,20.272821533407946,17.274733773557934,21.037644554496612,18.10378642754267,17.526096409023207,18.103656328956554,17.437578748664603,18.95926974507786,15.426206664527022,20.956007719615965,19.36542285227936,21.067968520094087,19.50600333245809,14.85969931992909,17.876585125507123,18.612615839298936,16.63881339156388,20.052423477684894,17.724591298967397,20.345476598547613,17.95695741999069,20.119442388547352,16.056179570959717,16.714308747157155,19.85009483747034,18.59057185896291,21.28633087619039,19.253225016753944,16.63588731752946,14.678945334005675,14.872881024763888,16.305554672855656,18.329166851683752,18.21329042421891,16.17866479451224,18.42528916787781,22.024730098647556,18.32467998530241,19.134840214876522,20.999366547757347
